star_name,band,eb,dist_pc,flo_GHz,fhi_GHz,chanw_Hz,bandwidth_Hz,eirp_5sigma_W,rms_mJy,star_snr,ctrl_max_snr,n_ctrl_ge_star,n_ctrl,p_star_empirical,drift_max_Hz_s,on_source_s,resolution_class,nearest_line,line_offset_MHz,flagged_symmetric
V star TX PsA,7,A002_Xcd2acd_X6125,20.835,336.79318,335.05881,15625000.0,1750000000.0,1.407e+15,0.3464,3.371,4.278,31,512,0.062378,4031.1,1385.0,"coarse (>5 MHz, continuum-mode -- weak technosignature constraint)",CO(3-2),-9268.441,0
V star TX PsA,7,A002_Xcd2acd_X6125,20.835,334.89768,333.16331,15625000.0,1750000000.0,1.612e+15,0.3969,3.04,4.808,113,512,0.22222,4008.4,1385.0,"coarse (>5 MHz, continuum-mode -- weak technosignature constraint)",CO(3-2),-12179.566,0
V star TX PsA,7,A002_Xcd2acd_X6125,20.835,345.16795,346.89305,488281.25,1725585937.5,2.746e+14,2.163,4.665,5.945,137,512,0.26901,4152.4,877.0,fine (<1 MHz),CO(3-2),-421.998,0
V star WW PsA,7,A002_Xcd2acd_X6125,20.867,347.05881,348.79318,15625000.0,1750000000.0,1.712e+15,0.4205,3.206,4.678,81,512,0.15984,4175.1,877.0,"coarse (>5 MHz, continuum-mode -- weak technosignature constraint)",CO(3-2),2481.559,0
V star WW PsA,7,A002_Xcd2acd_X6125,20.867,336.79318,335.05881,15625000.0,1750000000.0,1.446e+15,0.3551,2.697,4.191,193,512,0.37817,4031.1,877.0,"coarse (>5 MHz, continuum-mode -- weak technosignature constraint)",CO(3-2),-9018.441,0
V star WW PsA,7,A002_Xcd2acd_X6125,20.867,334.89768,333.16331,15625000.0,1750000000.0,1.65e+15,0.4053,2.156,4.524,425,512,0.83041,4008.4,877.0,"coarse (>5 MHz, continuum-mode -- weak technosignature constraint)",CO(3-2),-11992.066,0
V star WW PsA,7,A002_Xcd2acd_X6125,20.867,345.16795,346.89305,488281.25,1725585937.5,2.758e+14,2.168,4.398,5.674,314,512,0.61404,4152.4,877.0,fine (<1 MHz),CO(3-2),584.35,0
j1256-1257,7,A002_Xd9398d_X322a,21.154,344.9361,343.10798,15625000.0,1843750000.0,2.468e+15,0.3408,2.952,4.485,157,512,0.30799,4128.3,2939.3,"coarse (>5 MHz, continuum-mode -- weak technosignature constraint)",CO(3-2),-2516.146,0
j1256-1257,7,A002_Xd9398d_X322a,21.154,356.90886,358.73699,15625000.0,1843750000.0,3.401e+15,0.4491,2.638,4.274,298,512,0.58285,4293.9,2939.3,"coarse (>5 MHz, continuum-mode -- weak technosignature constraint)",CO(3-2),12456.614,0
j1256-1257,7,A002_Xd9398d_X322a,21.154,355.10875,356.93687,15625000.0,1843750000.0,2.917e+15,0.3873,4.025,4.496,4,512,0.0097466,4272.3,2939.3,"coarse (>5 MHz, continuum-mode -- weak technosignature constraint)",CO(3-2),9656.498,0
j1256-1257,7,A002_Xd9398d_X322a,21.154,346.68094,344.95535,976562.5,1726562500.0,8.323e+14,1.828,4.961,5.483,30,512,0.060429,4149.8,2177.3,fine (<1 MHz),CO(3-2),508.963,0
hd92945,7,A002_Xbbadbe_X3846,21.509,345.91588,344.08775,15625000.0,1843750000.0,1.956e+12,0.0004524,2.757,5.083,288,512,0.56335,4140.0,48.4,"coarse (>5 MHz, continuum-mode -- weak technosignature constraint)",CO(3-2),-1020.745,0
hd92945,7,A002_Xbbadbe_X3846,21.509,343.9735,342.23913,15625000.0,1750000000.0,1.228e+15,0.2841,3.454,4.961,43,512,0.08577,4117.3,3320.4,"coarse (>5 MHz, continuum-mode -- weak technosignature constraint)",CO(3-2),-2228.745,0
hd92945,7,A002_Xbbadbe_X3846,21.509,354.19405,356.02217,15625000.0,1843750000.0,2.017e+12,0.0004664,2.614,4.591,358,512,0.69981,4261.3,48.4,"coarse (>5 MHz, continuum-mode -- weak technosignature constraint)",CO(3-2),9304.297,0
hd92945,7,A002_Xbbadbe_X3846,21.509,356.13463,357.869,15625000.0,1750000000.0,1.548e+15,0.3579,2.402,4.833,430,512,0.84016,4284.0,3320.4,"coarse (>5 MHz, continuum-mode -- weak technosignature constraint)",CO(3-2),11479.255,0
hd92945,7,A002_Xbbadbe_X3846,21.509,345.86461,344.13902,976562.5,1726562500.0,4.019e+14,1.487,4.032,5.588,466,512,0.91033,4140.0,2812.3,fine (<1 MHz),CO(3-2),-1252.679,0
hd92945,7,A002_Xbbadbe_X3846,21.509,354.24556,355.97066,488281.25,1725585937.5,2.648e+14,1.96,4.735,6.048,167,512,0.32749,4261.3,2812.3,fine (<1 MHz),CO(3-2),9637.549,0
WD2039-202,6,A002_Xe539c7_X113b1,21.771,224.91406,223.08594,15625000.0,1843750000.0,1.372e+15,0.3097,3.213,4.238,39,512,0.077973,2688.0,616.9,"coarse (>5 MHz, continuum-mode -- weak technosignature constraint)",13CO(2-1),3702.562,0
WD2039-202,6,A002_Xe539c7_X113b1,21.771,226.91406,225.08594,15625000.0,1843750000.0,1.294e+15,0.2922,2.466,4.177,275,512,0.53801,2712.0,616.9,"coarse (>5 MHz, continuum-mode -- weak technosignature constraint)",CO(2-1),-4123.938,0
WD2039-202,6,A002_Xe539c7_X113b1,21.771,239.08594,240.91406,15625000.0,1843750000.0,1.411e+15,0.3185,1.955,4.269,487,512,0.95127,2880.0,616.9,"coarse (>5 MHz, continuum-mode -- weak technosignature constraint)",CS(5-4),-4287.562,0
WD2039-202,6,A002_Xe539c7_X113b1,21.771,241.08594,242.91406,15625000.0,1843750000.0,1.51e+15,0.3409,2.521,4.071,247,512,0.48343,2904.0,616.9,"coarse (>5 MHz, continuum-mode -- weak technosignature constraint)",CS(5-4),-2225.062,0
HD 45184,6,A002_X126c7ed_Xe9d,21.892,233.90073,232.0726,15625000.0,1843750000.0,8.58e+15,1.915,2.861,4.431,231,512,0.45224,2795.8,3610.7,"coarse (>5 MHz, continuum-mode -- weak technosignature constraint)",CO(2-1),2456.477,0
HD 45184,6,A002_X126c7ed_Xe9d,21.892,244.0726,245.90073,15625000.0,1843750000.0,8.876e+15,1.981,3.186,4.521,98,512,0.19298,2939.8,3610.7,"coarse (>5 MHz, continuum-mode -- weak technosignature constraint)",CS(5-4),89.727,0
HD 45184,6,A002_X126c7ed_Xe9d,21.892,246.0726,247.90073,15625000.0,1843750000.0,9.786e+15,2.184,3.753,4.198,16,512,0.033138,2963.8,3610.7,"coarse (>5 MHz, continuum-mode -- weak technosignature constraint)",CS(5-4),2714.727,0
