star_name,system,band,eb,dist_pc,flo_GHz,fhi_GHz,chanw_Hz,bandwidth_Hz,on_source_s,n_ant,rms_mJy,smin_mJy,eirp_5sigma_W,drift_max_Hz_s,n_drift_trials,resolution_class,star_snr,ctrl_max_snr,n_ctrl,n_ctrl_ge_star,p_rank_addone,nearest_line,line_offset_MHz,line_offset_kms,hit,spatially_significant,qa_status,disposition
Proxima Cen,Proxima Cen,6,A002_X1074d99_X74e,1.3016,223.085939,224.914064,15625000.0000,1843750000.0,2998.80,,1.76321,8.81868,2.793036e+13,2688.0000,4,coarse,2.2513,4.1576,512,456,0.890838,13CO(2-1),4108.8144,5499.07,False,False,searched,
Proxima Cen,Proxima Cen,6,A002_X1074d99_X74e,1.3016,225.085939,226.914064,15625000.0000,1843750000.0,2998.80,,1.69445,8.47482,2.684129e+13,2712.0000,4,coarse,2.2481,4.1299,512,448,0.875244,CO(2-1),-4873.9356,-6465.35,False,False,searched,
Proxima Cen,Proxima Cen,6,A002_X1074d99_X74e,1.3016,239.085936,240.914061,15625000.0000,1843750000.0,2998.80,,1.87419,9.37418,2.968971e+13,2880.0000,4,coarse,3.6101,4.1947,512,29,0.058480,CS(5-4),-4506.3144,-5629.00,False,False,searched,
Proxima Cen,Proxima Cen,6,A002_X1074d99_X74e,1.3016,241.085936,242.914061,15625000.0000,1843750000.0,2998.80,,1.98629,9.93493,3.146572e+13,2904.0000,4,coarse,3.6117,4.3991,512,16,0.033138,CS(5-4),-2709.4394,-3356.49,False,False,searched,
Proxima Cen,Proxima Cen,6,A002_X1076174_X11cc,1.3016,223.085939,224.914064,15625000.0000,1843750000.0,2796.19,,1.64038,8.20436,2.598469e+13,2688.0000,4,coarse,2.4465,4.0417,512,367,0.717349,13CO(2-1),3171.3144,4244.36,False,False,searched,
Proxima Cen,Proxima Cen,6,A002_X1076174_X11cc,1.3016,225.085939,226.914064,15625000.0000,1843750000.0,2797.20,,1.54186,7.71165,2.442418e+13,2712.0000,4,coarse,3.7694,4.4672,512,11,0.023392,CO(2-1),-4514.5606,-5988.63,False,False,searched,
Proxima Cen,Proxima Cen,6,A002_X1076174_X11cc,1.3016,239.085936,240.914061,15625000.0000,1843750000.0,2797.20,,1.70157,8.51077,2.695514e+13,2880.0000,4,coarse,2.8349,4.4271,512,229,0.448343,CS(5-4),-4756.3144,-5941.28,False,False,searched,
Proxima Cen,Proxima Cen,6,A002_X1076174_X11cc,1.3016,241.085936,242.914061,15625000.0000,1843750000.0,2797.20,,1.78532,8.92975,2.828212e+13,2904.0000,4,coarse,3.4435,4.3140,512,59,0.116959,CS(5-4),-2068.8144,-2562.87,False,False,searched,
Proxima Cen,Proxima Cen,6,A002_X107649f_X868f,1.3016,223.085939,224.914064,15625000.0000,1843750000.0,2998.80,,1.81295,9.06747,2.871832e+13,2688.0000,4,coarse,2.2810,4.8284,512,462,0.902534,13CO(2-1),3483.8144,4662.59,False,False,searched,
Proxima Cen,Proxima Cen,6,A002_X107649f_X868f,1.3016,225.085939,226.914064,15625000.0000,1843750000.0,2998.80,,1.75979,8.80165,2.787642e+13,2712.0000,4,coarse,2.1447,4.3687,512,477,0.931774,CO(2-1),-3764.5606,-4993.75,False,False,searched,
Proxima Cen,Proxima Cen,6,A002_X107649f_X868f,1.3016,239.085936,240.914061,15625000.0000,1843750000.0,2998.80,,1.92663,9.6365,3.052053e+13,2880.0000,4,coarse,3.1009,4.1900,512,116,0.228070,CS(5-4),-5584.4394,-6975.72,False,False,searched,
Proxima Cen,Proxima Cen,6,A002_X107649f_X868f,1.3016,241.085936,242.914061,15625000.0000,1843750000.0,2998.80,,2.0481,10.2441,3.244492e+13,2904.0000,4,coarse,3.1004,4.6429,512,100,0.196881,CS(5-4),-2350.0644,-2911.29,False,False,searched,
Proxima Cen,Proxima Cen,6,A002_X107649f_X8f30,1.3016,223.085939,224.914064,15625000.0000,1843750000.0,2998.80,,1.9539,9.77242,3.095103e+13,2688.0000,4,coarse,3.8633,4.1645,512,5,0.011696,13CO(2-1),3890.0644,5206.30,False,False,searched,
Proxima Cen,Proxima Cen,6,A002_X107649f_X8f30,1.3016,225.085939,226.914064,15625000.0000,1843750000.0,2998.80,,1.81654,9.08549,2.877540e+13,2712.0000,4,coarse,3.9652,4.9220,512,5,0.011696,CO(2-1),-3998.9356,-5304.65,False,False,searched,
Proxima Cen,Proxima Cen,6,A002_X107649f_X8f30,1.3016,239.085936,240.914061,15625000.0000,1843750000.0,2998.80,,2.05903,10.2987,3.261789e+13,2880.0000,4,coarse,3.1645,4.2577,512,89,0.175439,CS(5-4),-5318.8144,-6643.92,False,False,searched,
Proxima Cen,Proxima Cen,6,A002_X107649f_X8f30,1.3016,241.085936,242.914061,15625000.0000,1843750000.0,2998.80,,2.10696,10.5385,3.337735e+13,2904.0000,4,coarse,2.9736,4.2130,512,178,0.348928,CS(5-4),-3584.4394,-4440.45,False,False,searched,
Proxima Cen,Proxima Cen,6,A002_X1077d5b_X9976,1.3016,223.085939,224.914064,15625000.0000,1843750000.0,2998.80,,1.64073,8.20611,2.599023e+13,2688.0000,4,coarse,3.7006,4.5440,512,25,0.050682,13CO(2-1),3749.4394,5018.10,False,False,searched,
Proxima Cen,Proxima Cen,6,A002_X1077d5b_X9976,1.3016,225.085939,226.914064,15625000.0000,1843750000.0,2998.80,,1.56166,7.81068,2.473782e+13,2712.0000,4,coarse,2.7504,4.4254,512,276,0.539961,CO(2-1),-4795.8106,-6361.72,False,False,searched,
