star,eb,band,f_cross_GHz,T_star,rank_screen,nearest_line,line_offset_kms,attributed,re_committed,im_committed,ctrl_committed,localised_committed,re_adopted,im_adopted,ctrl_adopted,localised_adopted,epoch_verified,epoch_source,displacement_ch,offset_arcsec,offset_source,science_row_fraction,residual_ch,residual_bound_ch,re_round6,localised_round6,fit_source,chain,visibility_status,recurrence_n_repeats,recurrence_max_T
ALMA J153702653-33192492,A002_Xd9d7c7_Xbb64,7,347.21794,5.0087,False,CO(3-2),1232.77,False,-1.052774727953115,-0.2076678716561635,1.5905668678192542,False,4.639612922245388,-0.2818123454919887,1.4919166985748353,True,True,identical to times[0],-7.268115543118098,5.720665335228311,"measured: Gaia + FIELD::PHASE_DIR of the fitted field, this MS",1.0,-0.0,,,,visfit_r7_result.json,unattributed; below rank screen,localised,,
AU Mic,A002_Xa42f75_X319,6,230.686369,5.274,False,CO(2-1),192.939,False,0.7921953311315455,-0.5755747198990346,1.3948720745657315,False,5.497521832883922,1.0857271384629672,1.323896613666792,True,True,identical to times[0],7.183866908563522,0.03610487491123924,"measured: Gaia + FIELD::PHASE_DIR of the fitted field, this MS",0.8028349938012517,0.0,,0.4790598883619881,False,visfit_r7_result.json,unattributed; below rank screen,localised,,
AU Mic,A002_X899169_X1838,6,230.82523,5.2213,False,CO(2-1),373.515,False,-0.2791433806143631,1.0733615825413063,0.6201081960616665,False,5.3894390586692555,0.2101093421237741,0.9446930789854898,True,True,identical to times[0],2.619915955391178,0.03487975781084199,"measured: Gaia + FIELD::PHASE_DIR of the fitted field, this MS",0.7904497974845449,0.0,,-1.343558322579396,False,visfit_r7_result.json,unattributed; below rank screen,localised,,
BD05 1668,A002_Xc7fa6f_X28a8,6,224.742189,11.8682,False,13CO(2-1),5907.719,False,60.3660806986928,48.61161225454855,55.17093719119682,False,38.1547794512883,21.987751850639178,36.66447116968314,False,True,own fit at extraction epoch,-0.3364855217079045,0.19504183944758638,"measured: Gaia + FIELD::PHASE_DIR of the fitted field, this MS",0.8305084745762712,-0.7463415017418247,,,,visfit_r7_result.json,unattributed; below rank screen,not localised,,
BD05 1668,A002_Xc7fa6f_X28a8,6,226.742189,10.1359,False,CO(2-1),-4936.086,False,52.34642381298486,-34.11417594995108,17.806973682167456,False,43.00155510397693,-22.498468817345522,19.6313515681274,False,False,"times[0], residual bounded",-0.3364855217079045,0.19504183944758638,"measured: Gaia + FIELD::PHASE_DIR of the fitted field, this MS",0.8305084745762712,,0.672971043415809,,,visfit_r7_result.json,unattributed; below rank screen,not localised,,
BD05 1668,A002_Xc7fa6f_X28a8,6,240.101561,17.5188,False,CS(5-4),-5917.172,False,94.66289179445934,-49.21112612420658,34.99429369113192,False,89.37096083688395,-41.211109210698794,33.073323334833525,False,False,"times[0], residual bounded",0.3364855217079045,0.19504183944758638,"measured: Gaia + FIELD::PHASE_DIR of the fitted field, this MS",0.8596491228070176,,0.672971043415809,,,visfit_r7_result.json,unattributed; below rank screen,not localised,,
BD05 1668,A002_Xc7fa6f_X28a8,6,242.195311,8.7835,False,CS(5-4),-3354.501,False,39.51151724660816,33.84661567657602,25.155597163819753,False,47.29549057439017,21.24769810159851,25.234677330208964,False,False,"times[0], residual bounded",0.3364855217079045,0.19504183944758638,"measured: Gaia + FIELD::PHASE_DIR of the fitted field, this MS",0.8596491228070176,,0.672971043415809,54.860858127902404,False,visfit_r7_result.json,unattributed; below rank screen,not localised,,
CD-57 1054,A002_Xcf525f_X5aa4,7,346.509896,5.1083,False,CO(3-2),618.922,False,2.334089373302939,0.783511527950818,1.7094586721470182,False,4.0388783435804845,0.25947188654923614,2.198717042061316,True,True,identical to times[0],1.5847354053509846,0.0666701536647782,"measured: Gaia + FIELD::PHASE_DIR of the fitted field, this MS",0.8933374555572732,0.0,,,,visfit_r7_result.json,unattributed; below rank screen,localised,,
CP-72 2713,A002_Xff0235_X4a6d,7,344.269746,5.8089,True,CO(3-2),-1323.206,False,,,,,,,,,,,,,,,,,-0.8634240260586253,False,,unattributed; rank-flagged; tested and does not recur,untested,5,3.6039089055438733
GJ 849,A002_Xd9668b_X841a,6,230.87691,5.0904,False,CO(2-1),440.72,False,1.7722866255223604,-1.0508556269771514,2.726552131806121,False,5.349295485354752,1.7579852642122251,1.144806085392944,True,True,identical to times[0],5.332478886088037,0.03666137305423372,"measured: Gaia + FIELD::PHASE_DIR of the fitted field, this MS",1.0,,,1.7523818417248005,False,visfit_r7_result.json,unattributed; below rank screen,localised,5,2.3291678594338574
HD 10647,A002_Xff294f_Xaf70,7,331.657036,5.1202,False,CO(3-2),-12257.964,False,-0.08546023642604647,1.5581112627728537,1.3332393853472875,False,5.158301748325779,-0.35454948335410597,1.6876647593319338,True,True,identical to times[0],12.13947590308725,0.04896354651565188,"measured: Gaia + FIELD::PHASE_DIR of the fitted field, this MS",1.0,,,-0.03378578142661517,False,visfit_r7_result.json,unattributed; below rank screen,localised,,
