star_name,system_id,band,eb,dist_pc,flo_GHz,fhi_GHz,chanw_Hz,bandwidth_Hz,on_source_s,n_int,rms_mJy,smin_mJy,eirp_nominal_W,eirp_hanning_centred_W,eirp_hanning_worst_W,eirp_eff_total_W,c_response_smear,eirp_p90_W,eirp_p90_sel_W,eirp_p90_lo_W,eirp_p90_hi_W,drift_max_Hz_s,a_max_m_s2,n_drift_trials,eta_drift,eta_smear,resolution_class,search_class,star_snr,ctrl_max_snr,star_snr_regionmax,stage1_flag_regionmax,n_ctrl,n_ctrl_ge_star,p_rank_addone,p_rank_local,stage1_flag_local,f_cross_GHz,nearest_line,line_offset_MHz,line_offset_kms,ring_centre,theta_pb_arcsec,r_in_arcsec,r_out_arcsec,n_control,ring_seed,crossing,stage1_flag,disposition
Proxima Cen,Proxima Cen,6,A002_X1074d99_X74e,1.3016,225.085939,226.914064,15625000.0000,1828125000.0,2998.80,,1.69445,8.47482,2.684129e+13,5.368259e+13,7.157678e+13,6.135153e+13,2.2857,1.109440e+14,1.222238e+14,1.166139e+14,1.263077e+14,2712.0000,3.598,4,0.5205,,coarse,B,2.2481,4.1299,3.1785,False,512,448,0.875244,0.898635,False,225.664064,CO(2-1),-4873.9356,-6338.084,star,27.817,3.894,21.698,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X107649f_X868f,1.3016,225.085939,226.914064,15625000.0000,1828125000.0,2998.80,,1.75979,8.80165,2.787642e+13,5.575284e+13,7.433711e+13,6.371753e+13,2.2857,1.152225e+14,1.269373e+14,1.211111e+14,1.311787e+14,2712.0000,3.598,4,0.5205,,coarse,B,2.1447,4.3687,2.7444,False,512,477,0.931774,0.978558,False,226.773439,CO(2-1),-3764.5606,-4895.448,star,27.817,3.894,21.698,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X107649f_X8f30,1.3016,225.085939,226.914064,15625000.0000,1828125000.0,2998.80,,1.81654,9.08549,2.877540e+13,5.755081e+13,7.673441e+13,6.577235e+13,2.2857,1.189383e+14,1.310309e+14,1.250168e+14,1.354091e+14,2712.0000,3.598,4,0.5205,,coarse,B,3.9652,4.9220,4.1865,False,512,5,0.011696,0.025341,False,226.539064,CO(2-1),-3998.9356,-5200.230,star,27.817,3.894,21.698,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X1077d5b_X9976,1.3016,225.085939,226.914064,15625000.0000,1828125000.0,2998.80,,1.56166,7.81068,2.473782e+13,4.947565e+13,6.596753e+13,5.654360e+13,2.2857,1.022497e+14,1.126454e+14,1.074753e+14,1.164094e+14,2712.0000,3.598,4,0.5205,,coarse,B,2.7504,4.4254,3.7257,False,512,276,0.539961,0.461988,False,225.742189,CO(2-1),-4795.8106,-6236.490,star,27.817,3.894,21.698,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X1077d5b_Xa63d,1.3016,225.085939,226.914064,15625000.0000,1828125000.0,2998.80,,1.26453,6.32457,2.003107e+13,4.006213e+13,5.341618e+13,4.578530e+13,2.2857,8.279508e+13,9.121289e+13,8.702641e+13,9.426068e+13,2712.0000,3.598,4,0.5205,,coarse,B,2.2130,4.5102,3.0515,False,512,471,0.920078,0.914230,False,225.632814,CO(2-1),-4905.1856,-6378.721,star,27.817,3.894,21.698,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X106ccd1_Xbe52,1.3016,225.085939,226.914064,15625000.0000,1828125000.0,2998.80,,1.66429,8.32409,2.636390e+13,5.272780e+13,7.030373e+13,6.026034e+13,2.2857,1.089708e+14,1.200499e+14,1.145399e+14,1.240613e+14,2712.0000,3.598,4,0.5205,,coarse,B,2.1719,4.4630,3.4865,False,512,462,0.902534,0.908382,False,226.585939,CO(2-1),-3952.0606,-5139.274,star,27.817,3.894,21.698,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X106ccd1_Xc4a6,1.3016,225.085939,226.914064,15625000.0000,1828125000.0,2998.80,,1.69437,8.47450,2.684028e+13,5.368056e+13,7.157408e+13,6.134921e+13,2.2857,1.109398e+14,1.222191e+14,1.166095e+14,1.263030e+14,2712.0000,3.598,4,0.5205,,coarse,B,2.8142,4.7273,2.8997,False,512,230,0.450292,0.309942,False,225.085939,13CO(2-1),4686.9394,6375.297,star,27.817,3.894,21.698,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X106a1f1_X6a0c,1.3016,239.085936,240.914061,15625000.0000,1828125000.0,2998.80,2975,3.40669,17.03968,5.396776e+13,1.079355e+14,1.439140e+14,1.233549e+14,2.2857,2.230668e+14,2.457461e+14,2.344668e+14,2.539574e+14,2880.0000,3.598,4,0.5527,1.0000,coarse,B,3.1741,3.9436,3.7357,False,512,66,0.130604,0.159844,False,240.070311,CS(5-4),-4865.6894,-5955.421,star,26.195,3.667,20.432,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X1076174_X11cc,1.3016,239.085936,240.914061,15625000.0000,1828125000.0,2797.20,,1.70157,8.51077,2.695514e+13,5.391028e+13,7.188038e+13,6.161175e+13,2.2857,1.114146e+14,1.227422e+14,1.171085e+14,1.268435e+14,2880.0000,3.598,4,0.5156,,coarse,B,2.8349,4.4271,3.0166,False,512,229,0.448343,0.335283,False,240.179686,CS(5-4),-4756.3144,-5821.550,star,26.195,3.667,20.432,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X106b646_X1295,1.3016,239.085936,240.914061,15625000.0000,1828125000.0,2998.80,,2.21819,11.09498,3.513983e+13,7.027965e+13,9.370620e+13,8.031960e+13,2.2857,1.452446e+14,1.600117e+14,1.526675e+14,1.653583e+14,2880.0000,3.598,4,0.5527,,coarse,B,3.2014,4.3654,3.5255,False,512,83,0.163743,0.046784,False,239.226561,CS(5-4),-5709.4394,-6988.139,star,26.195,3.667,20.432,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X107376c_X12b9,1.3016,239.085936,240.914061,15625000.0000,1828125000.0,2998.80,,2.74730,13.74124,4.352101e+13,8.704202e+13,1.160560e+14,9.947659e+13,2.2857,1.798868e+14,1.981760e+14,1.890802e+14,2.047979e+14,2880.0000,3.598,4,0.5527,,coarse,B,2.9429,4.5200,3.8592,False,512,149,0.292398,0.331384,False,240.117186,CS(5-4),-4818.8144,-5898.048,star,26.195,3.667,20.432,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X106f040_X13932,1.3016,239.085936,240.914061,15625000.0000,1828125000.0,2998.80,,2.08292,10.41820,3.299633e+13,6.599266e+13,8.799022e+13,7.542019e+13,2.2857,1.363848e+14,1.502512e+14,1.433549e+14,1.552717e+14,2880.0000,3.598,4,0.5527,,coarse,B,1.9318,4.8829,2.9725,False,512,506,0.988304,1.000000,False,240.507811,CS(5-4),-4428.1894,-5419.937,star,26.195,3.667,20.432,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X106f040_X148f3,1.3016,239.085936,240.914061,15625000.0000,1828125000.0,2998.80,,1.93056,9.65616,3.058280e+13,6.116560e+13,8.155414e+13,6.990354e+13,2.2857,1.264089e+14,1.392610e+14,1.328692e+14,1.439142e+14,2880.0000,3.598,4,0.5527,,coarse,B,2.6926,4.3593,3.9192,False,512,282,0.551657,0.674464,False,240.476561,CS(5-4),-4459.4394,-5458.186,star,26.195,3.667,20.432,512,20260825,False,False,
