rank,name,ra,dec,dist_pc,pmra,pmdec,alma_bands,gmag,teff,is_exo_host,n_planets,source,status,orig_rank,gaia_source_id
80,SCR J1656-2046,254.13911786858904,-20.77796755384291,16.317709826614095,-194.81059334721618,-194.33437807109473,6,14.989168167114258,,,,new20pc,needs_redo,59,
81,LP  840-16,107.0272138479481,-22.814159191803096,16.70357743409871,-411.6282824504957,-228.93070035801338,8,10.518141746520996,,,,new20pc,needs_redo,60,
82,Ross  622,132.92825821398725,18.124743394772647,16.710895062144623,-899.9858437176458,-52.66779552472954,3,10.666370391845703,,,,new20pc,needs_redo,61,
83,LP  702-50,348.9785213795388,-6.463096715840339,16.768447917651795,315.13352395253196,-44.90793845461404,7,14.794569969177246,,,,new20pc,needs_redo,62,
84,LP  923-19,278.84201284819926,-31.396680739248108,17.218152876615157,28.532277004295015,-380.0025938066515,6,12.50324535369873,,,,new20pc,needs_redo,63,
85,LP  923-18,278.8398616374994,-31.39568119569199,17.226952781162343,23.625422505302122,-383.0911858920407,6,11.602418899536133,,,,new20pc,needs_redo,64,
86,HD  94765,164.12717870622868,7.3881302560914115,17.300315488190833,-256.99164425032006,-77.40965166891915,7,7.1133317947387695,4910.1162109375,,,new20pc,needs_redo,65,
87,HD 10647,25.62339159017506,-53.74129984828599,17.348792545179204,166.04054972266235,-105.4958102197813,"6,7",5.383109092712402,6114.824462890625,True,1,top100,needs_redo,45,
88,* g Lup,235.2963466961976,-44.6623899936602,17.398608619535604,-169.10565112984054,-266.39145844308257,6,4.520535469055176,6596.69482421875,,,new20pc,needs_redo,66,
89,*  37 Gem,103.82759156605087,25.375803135431426,17.404657022595195,-37.59497086966134,24.233724290764933,3,5.602783679962158,5819.5,,,new20pc,needs_redo,67,
90,V* ZZ Psc,352.19670801911326,5.247213099043008,17.524797217532196,-398.2458353978592,-266.7438097305465,"6,7",13.062395095825195,,,,new20pc,needs_redo,68,
91,L  671-20,106.84643706065182,-21.458520145746682,17.564320308150577,195.14755951077632,-210.1316520736746,8,10.150473594665527,3343.11865234375,,,new20pc,needs_redo,69,
92,BD+05   127,14.435383926013158,5.85573316957686,17.809918334712386,-55.518435252300776,1.4034280181261358,6,9.563919067382812,,,,new20pc,needs_redo,70,
93,LP  927-32,309.8508858682124,-29.44624125075107,17.890522839417486,319.61402151628704,-737.4360762441796,"3,6",15.178885459899902,,,,new20pc,needs_redo,71,
94,UCAC4 344-194568,308.40224210084426,-21.336459771050528,17.927615516221184,-117.63708181152462,-71.03859187410436,7,11.482918739318848,,,,new20pc,needs_redo,72,
95,Wolf 1034,335.0565229770535,6.72679864112854,18.05402488423217,284.6178904886404,280.8526536309954,3,12.183734893798828,3235.888427734375,,,new20pc,needs_redo,73,
96,* eta Crv,188.0156449228337,-16.196264029437497,18.243690056636073,-424.596782433152,-58.2411313459339,"7,8",4.209556579589844,6746.5283203125,,,new20pc,needs_redo,74,
97,LP  870-65,301.1288564266629,-23.70213617627802,18.25091831546308,119.33963501186894,-339.14562275420235,7,11.580648422241211,,,,new20pc,needs_redo,75,
98,HD53143 (Gaia DR3 5479222240596469632),104.99706286126714,-61.33500424765096,18.340130468614888,-161.87264540008795,264.83561051555023,6,6.616180896759033,5300.3193359375,False,0,top100,secure,23,
99,HD 158233,262.27591432589537,-23.836435650477906,18.39359418021142,-288.66636470992313,-72.7891199456114,7,9.06427001953125,4108.18359375,,,new20pc,needs_redo,76,
100,HD  42807,93.30244910592171,10.625819907584921,18.59937001542844,78.24975872122373,-297.55111579954627,6,6.271036148071289,5636.935546875,,,new20pc,needs_redo,77,
101,PM J17394-2327,264.84928189317486,-23.452189183848812,18.665220008873703,-453.4924908252745,-43.21180801787531,7,13.833521842956543,,,,new20pc,needs_redo,78,
102,G  13-51,189.69362697129873,-4.3222880717573045,18.683719147890393,-748.1335045376759,-198.35365008384474,"6,7",12.216981887817383,,,,new20pc,needs_redo,79,
103,HD 170493,277.46912967839614,-1.8189624863394651,18.81162115767776,172.0630580035004,-193.4221579337165,6,7.68353271484375,4658.39453125,,,new20pc,needs_redo,80,
104,Wolf  219,56.14712981451253,18.43104008150184,18.88298291770258,412.51764655794017,-1129.7758796278197,6,15.057756423950195,,,,new20pc,needs_redo,81,
105,G  82-33,68.68850665695317,-0.4472776491451271,18.930942612070368,-81.11425039391419,-230.8106999017713,6,12.272258758544922,,,,new20pc,needs_redo,82,
106,Ross  972,195.0149340750512,-5.6297508059701755,19.00350277425523,-344.02477348986025,43.66221554710016,6,11.382515907287598,3128.34130859375,,,new20pc,needs_redo,83,
107,LP  549-10,149.96815413261183,2.7805250971078017,19.166886144991615,184.82543065485555,27.350475260099753,7,12.81271743774414,,,,new20pc,needs_redo,84,
108,HD 194640,306.9342721592136,-30.870163905697215,19.305446368990072,-14.273038461906083,-521.6273045061087,3,6.442749977111816,5472.486328125,,,new20pc,needs_redo,85,
109,LSPM J0738+2400,114.62216862501052,24.0019731597431,19.3965195343007,-152.08126620334212,-96.94910956571275,7,11.74533748626709,3055.5458984375,,,new20pc,needs_redo,86,
110,* k Ori,94.11128944061781,12.272992041846027,19.587941167274533,82.77514649355062,186.48042272707457,6,4.916410446166992,6455.56298828125,,,new20pc,needs_redo,87,
111,bet Pic,86.82123452009108,-51.066136257823345,19.6345266018065,5.160196860824648,84.0405295978282,"3,6,7,8",3.8232421875,7988.366611328125,True,3,top100,needs_redo,37,
112,* eta Cru,181.72076420594314,-64.61389471172151,19.688169605096633,34.27029065373058,-36.90243212526111,6,4.060889720916748,6863.0830078125,,,new20pc,needs_redo,88,
113,L  630-44,261.8107667727851,-25.162126124890616,19.70605190178863,426.3363921344734,-451.26591814316674,7,12.098161697387695,,,,new20pc,needs_redo,89,
