window,band,chanw_kHz,phi,realisation,peak_unsmoothed,peak_smoothed,unit_channel_reference,hanning_only_ratio,factor
A002_Xc6a3db_X26cc_spw0,7,488.28,0.375,0,24.7883,15.9492,39.6613,1.5542,2.4867
A002_Xc6a3db_X26cc_spw0,7,488.28,0.375,1,24.8019,15.9265,39.683,1.5573,2.4916
A002_Xc6a3db_X26cc_spw0,7,488.28,0.375,2,24.8374,16.2323,39.7399,1.5301,2.4482
A002_Xc6a3db_X26cc_spw0,7,488.28,0.375,3,24.7731,16.0573,39.6369,1.5428,2.4685
A002_Xc6a3db_X26cc_spw0,7,488.28,0.375,4,24.8779,16.0288,39.8047,1.5521,2.4833
A002_Xc6a3db_X26cc_spw0,7,488.28,0.375,5,24.8477,15.9996,39.7564,1.553,2.4848
A002_Xc6a3db_X26cc_spw0,7,488.28,0.375,6,24.7765,15.8947,39.6424,1.5588,2.4941
A002_Xc6a3db_X26cc_spw0,7,488.28,0.375,7,24.8175,15.9983,39.708,1.5513,2.482
A002_Xc6a3db_X26cc_spw0,7,488.28,0.375,8,24.838,16.0254,39.7409,1.5499,2.4799
A002_Xc6a3db_X26cc_spw0,7,488.28,0.375,9,24.8492,15.9718,39.7587,1.5558,2.4893
A002_Xc6a3db_X26cc_spw0,7,488.28,0.5,0,22.7317,16.7492,45.4634,1.3572,2.7144
A002_Xc6a3db_X26cc_spw0,7,488.28,0.5,1,26.4883,19.7191,52.9767,1.3433,2.6866
A002_Xc6a3db_X26cc_spw0,7,488.28,0.5,2,19.7819,14.6977,39.5637,1.3459,2.6918
A002_Xc6a3db_X26cc_spw0,7,488.28,0.5,3,19.7891,14.6719,39.5782,1.3488,2.6976
A002_Xc6a3db_X26cc_spw0,7,488.28,0.5,4,19.8759,14.7984,39.7517,1.3431,2.6862
A002_Xc6a3db_X26cc_spw0,7,488.28,0.5,5,19.7532,14.7237,39.5065,1.3416,2.6832
A002_Xc6a3db_X26cc_spw0,7,488.28,0.5,6,19.8643,14.8038,39.7286,1.3418,2.6837
A002_Xc6a3db_X26cc_spw0,7,488.28,0.5,7,19.8166,14.6894,39.6332,1.349,2.6981
A002_Xc6a3db_X26cc_spw0,7,488.28,0.5,8,20.1024,14.955,40.2047,1.3442,2.6884
A002_Xc6a3db_X26cc_spw0,7,488.28,0.5,9,19.6596,14.5064,39.3191,1.3552,2.7105
