trial,target,window,band,chanw_Hz,klass,n_int,n_chan,inj_chan,amp_sigma,dwell,realisation,sigma_per_int,recovered_snr,peak_chan,detected
122,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,5,0.5,2,0.003896629928477341,16.648768683178872,64,True
123,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,5,0.5,3,0.003896629928477341,16.397911554880537,64,True
124,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,5,0.5,4,0.003896629928477341,16.65854730029651,64,True
125,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,5,0.5,5,0.003896629928477341,16.832333448104603,64,True
126,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,5,0.4,0,0.003896629928477341,13.142767842811486,64,True
127,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,5,0.4,1,0.003896629928477341,13.44698809859567,64,True
128,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,5,0.4,2,0.003896629928477341,13.231087465123894,64,True
129,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,5,0.4,3,0.003896629928477341,13.390349606273212,64,True
130,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,5,0.4,4,0.003896629928477341,13.420662410940995,64,True
131,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,5,0.4,5,0.003896629928477341,13.399287812655778,64,True
132,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,5,0.25,0,0.003896629928477341,7.56078453498692,64,True
133,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,5,0.25,1,0.003896629928477341,7.681022435944571,64,True
134,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,5,0.25,2,0.003896629928477341,7.947366436066584,64,True
135,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,5,0.25,3,0.003896629928477341,7.657880416265524,64,True
136,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,5,0.25,4,0.003896629928477341,7.641799144995027,64,True
137,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,5,0.25,5,0.003896629928477341,7.747163079643241,64,True
