star_name,system_id,band,eb,dist_pc,flo_GHz,fhi_GHz,chanw_Hz,bandwidth_Hz,on_source_s,n_int,rms_mJy,smin_mJy,eirp_nominal_W,eirp_hanning_centred_W,eirp_hanning_worst_W,drift_max_Hz_s,a_max_m_s2,n_drift_trials,eta_drift,eta_smear,resolution_class,search_class,star_snr,ctrl_max_snr,n_ctrl,n_ctrl_ge_star,p_rank_addone,f_cross_GHz,nearest_line,line_offset_MHz,line_offset_kms,ring_centre,theta_pb_arcsec,r_in_arcsec,r_out_arcsec,n_control,ring_seed,crossing,stage1_flag,disposition
WD2039-202,WD2039-202,6,A002_Xe539c7_X113b1,21.7709,241.085938,242.914063,15625000.0000,1828125000.0,616.90,306,0.34089,1.70444,1.510299e+15,3.020598e+15,4.027464e+15,2904.0000,3.598,2,0.1147,1.0000,coarse,B,2.5208,4.0714,512,247,0.483431,242.710938,CS(5-4),-2225.0625,-2723.393,star,25.978,3.637,20.263,512,20260825,False,False,
HD 45184,HD 45184,6,A002_X126c7ed_Xe9d,21.8923,229.665871,231.391457,976562.5000,1725585937.5,2933.28,485,10.83610,54.18091,3.034161e+15,4.045548e+15,6.068322e+15,2766.3440,3.598,41,8.309,0.9999,fine,A,4.5131,5.4896,512,109,0.214425,231.009621,CO(2-1),471.6213,613.298,star,27.271,3.818,21.271,512,20260825,False,False,
HD 45184,HD 45184,6,A002_X126c7ed_Xe9d,21.8923,232.072602,233.900727,15625000.0000,1828125000.0,3610.66,597,1.91521,9.57611,8.580278e+15,1.716056e+16,2.288074e+16,2795.8400,3.598,4,0.6461,1.0000,coarse,B,2.8615,4.4305,512,231,0.452242,232.994477,CO(2-1),2456.4768,3194.411,star,26.983,3.778,21.047,512,20260825,False,False,
HD 45184,HD 45184,6,A002_X126c7ed_Xe9d,21.8923,244.072602,245.900727,15625000.0000,1828125000.0,3610.66,597,1.98125,9.90636,8.876184e+15,1.775237e+16,2.366982e+16,2939.8400,3.598,4,0.6793,1.0000,coarse,B,3.1856,4.5210,512,98,0.192982,245.025727,CS(5-4),89.7268,109.822,star,25.661,3.593,20.016,512,20260825,False,False,
HD 45184,HD 45184,6,A002_X126c7ed_Xe9d,21.8923,246.072602,247.900727,15625000.0000,1828125000.0,3610.66,597,2.18439,10.92203,9.786236e+15,1.957247e+16,2.609663e+16,2963.8400,3.598,4,0.6849,1.0000,coarse,B,3.7535,4.1978,512,16,0.033138,247.650727,CS(5-4),2714.7268,3322.724,star,25.454,3.564,19.854,512,20260825,False,False,
LP 476-207 783296,LP 476-207 384128,7,A002_Xd10f82_X2635,23.7525,333.149759,334.884134,15625000.0000,1734375000.0,1409.18,233,0.52264,2.69343,2.840891e+15,5.681783e+15,7.575710e+15,4008.2034,3.598,3,0.3615,1.0000,coarse,B,2.0332,4.1892,512,493,0.962963,333.634134,CO(3-2),-12161.8657,-10543.892,star,18.822,2.635,14.681,512,20260825,False,False,
LP 476-207 783296,LP 476-207 384128,7,A002_Xd10f82_X2635,23.7525,335.045259,336.779634,15625000.0000,1734375000.0,1409.18,233,0.45298,2.33527,2.463131e+15,4.926261e+15,6.568348e+15,4030.9494,3.598,3,0.3635,1.0000,coarse,B,2.9703,4.2953,512,120,0.235867,335.123384,CO(3-2),-10672.6157,-9252.767,star,18.715,2.620,14.598,512,20260825,False,False,
LP 476-207 783296,LP 476-207 384128,7,A002_Xd10f82_X2635,23.7525,345.154398,346.879496,488281.2500,1725097656.2,1028.16,170,2.85096,14.72506,4.853520e+14,9.707039e+14,1.294272e+15,4152.2034,3.598,44,8.743,0.9989,fine,A,4.4371,5.8578,512,184,0.360624,346.823343,CO(3-2),1027.3433,890.669,star,18.169,2.544,14.172,512,20260825,False,False,
LP 476-207 783296,LP 476-207 384128,7,A002_Xd10f82_X2635,23.7525,347.045259,348.779634,15625000.0000,1734375000.0,1409.18,233,0.53335,2.75568,2.906557e+15,5.813114e+15,7.750819e+15,4174.9494,3.598,3,0.3765,1.0000,coarse,B,3.4275,4.2282,512,36,0.072125,348.092134,CO(3-2),2296.1343,1990.664,star,18.070,2.530,14.094,512,20260825,False,False,
LP 476-207 384128,LP 476-207 384128,7,A002_Xd10f82_X2635,23.7875,333.149759,334.884134,15625000.0000,1734375000.0,1409.18,233,0.52239,2.61842,2.769928e+15,5.539856e+15,7.386475e+15,4008.2034,3.598,3,0.3615,1.0000,coarse,B,1.8538,4.6169,512,505,0.986355,333.368509,CO(3-2),-12427.4907,-10774.179,star,18.822,2.635,14.681,512,20260825,False,False,
LP 476-207 384128,LP 476-207 384128,7,A002_Xd10f82_X2635,23.7875,335.045259,336.779634,15625000.0000,1734375000.0,1409.18,233,0.45240,2.26766,2.398875e+15,4.797750e+15,6.397000e+15,4030.9494,3.598,3,0.3635,1.0000,coarse,B,2.8663,4.4202,512,154,0.302144,335.420259,CO(3-2),-10375.7407,-8995.387,star,18.715,2.620,14.598,512,20260825,False,False,
